year,city,n
2015,Kahramanmaras,2912
2015,Karabuk,1161
2015,Karaman,781
2015,Kars,659
2015,Kastamonu,1201
2015,Kayseri,4599
2015,Kilis,999
2015,Kirikkale,342
2015,Kirklareli,1308
2015,Kirsehir,286
2015,Kocaeli,5497
2015,Konya,6422
2015,Kutahya,2417
2015,Malatya,4711
2015,Manisa,2600
2015,Mardin,1717
2015,Mersin,7505
2015,Mugla,4293
2015,Mus,510
2015,Nevsehir,1608
2015,Nigde,369
2015,Ordu,3107
2015,Osmaniye,876
2015,Rize,825
2015,Sakarya,3496
2015,Samsun,2827
2015,Sanliurfa,1672
2015,Siirt,1138
2015,Sinop,1496
2015,Sirnak,180
