type,year,city,n
Yerli,2008,Hatay,4
Yerli,2008,Igdir,0
Yerli,2008,Isparta,0
Yerli,2008,Istanbul,1110
Yerli,2008,Izmir,88
Yerli,2008,Kahramanmaras,0
Yerli,2008,Karabuk,0
Yerli,2008,Karaman,0
Yerli,2008,Kars,20
Yerli,2008,Kastamonu,0
Yerli,2008,Kayseri,0
Yerli,2008,Kilis,0
Yerli,2008,Kirikkale,0
Yerli,2008,Kirklareli,2
Yerli,2008,Kirsehir,0
Yerli,2008,Kocaeli,18
Yerli,2008,Konya,7
Yerli,2008,Kutahya,4
Yerli,2008,Malatya,0
Yerli,2008,Manisa,44
Yerli,2008,Mardin,10
Yerli,2008,Mersin,7
Yerli,2008,Mugla,0
Yerli,2008,Mus,3
Yerli,2008,Nevsehir,0
Yerli,2008,Nigde,0
Yerli,2008,Ordu,3
Yerli,2008,Osmaniye,3
Yerli,2008,Rize,0
Yerli,2008,Sakarya,2
Yerli,2008,Samsun,13
Yerli,2008,Sanliurfa,10
Yerli,2008,Siirt,0
Yerli,2008,Sinop,6
Yerli,2008,Sirnak,0
Yerli,2008,Sivas,3
Yerli,2008,Tekirdag,0
Yerli,2008,Tokat,2
Yerli,2008,Trabzon,2
Yerli,2008,Tunceli,0
Yerli,2008,Usak,80
Yerli,2008,Van,10
Yerli,2008,Yalova,2
Yerli,2008,Yozgat,0
Yerli,2008,Zonguldak,0
Yerli,2009,Adana,12
Yerli,2009,Adiyaman,0
Yerli,2009,Afyonkarahisar,5
Yerli,2009,Agri,0
Yerli,2009,Aksaray,0
Yerli,2009,Amasya,0
Yerli,2009,Ankara,80
Yerli,2009,Antalya,12
Yerli,2009,Ardahan,0
Yerli,2009,Artvin,0
Yerli,2009,Aydin,0
Yerli,2009,Balikesir,0
Yerli,2009,Bartin,0
Yerli,2009,Batman,3
Yerli,2009,Bayburt,0
Yerli,2009,Bilecik,0
Yerli,2009,Bingol,0
Yerli,2009,Bitlis,5
Yerli,2009,Bolu,10
Yerli,2009,Burdur,0
Yerli,2009,Bursa,94
Yerli,2009,Canakkale,0
Yerli,2009,Cankiri,0
Yerli,2009,Corum,32
Yerli,2009,Denizli,0
Yerli,2009,Diyarbakir,15
Yerli,2009,Duzce,0
Yerli,2009,Edirne,0
Yerli,2009,Elazig,5
Yerli,2009,Erzincan,5
Yerli,2009,Erzurum,6
Yerli,2009,Eskisehir,28
Yerli,2009,Gaziantep,0
Yerli,2009,Giresun,3
Yerli,2009,Gumushane,0
Yerli,2009,Hakkari,6
Yerli,2009,Hatay,5
Yerli,2009,Igdir,0
Yerli,2009,Isparta,0
Yerli,2009,Istanbul,1064
Yerli,2009,Izmir,86
Yerli,2009,Kahramanmaras,3
Yerli,2009,Karabuk,0
Yerli,2009,Karaman,0
Yerli,2009,Kars,3
Yerli,2009,Kastamonu,0
Yerli,2009,Kayseri,2
Yerli,2009,Kilis,0
Yerli,2009,Kirikkale,0
Yerli,2009,Kirklareli,1
Yerli,2009,Kirsehir,0
Yerli,2009,Kocaeli,18
Yerli,2009,Konya,12
Yerli,2009,Kutahya,4
Yerli,2009,Malatya,0
Yerli,2009,Manisa,49
Yerli,2009,Mardin,0
Yerli,2009,Mersin,9
Yerli,2009,Mugla,0
Yerli,2009,Mus,0
Yerli,2009,Nevsehir,0
Yerli,2009,Nigde,0
Yerli,2009,Ordu,4
Yerli,2009,Osmaniye,3
Yerli,2009,Rize,0
Yerli,2009,Sakarya,1
Yerli,2009,Samsun,35
Yerli,2009,Sanliurfa,21
Yerli,2009,Siirt,0
Yerli,2009,Sinop,13
Yerli,2009,Sirnak,0
Yerli,2009,Sivas,2
Yerli,2009,Tekirdag,0
Yerli,2009,Tokat,0
Yerli,2009,Trabzon,3
Yerli,2009,Tunceli,0
Yerli,2009,Usak,20
Yerli,2009,Van,24
Yerli,2009,Yalova,0
Yerli,2009,Yozgat,0
Yerli,2009,Zonguldak,0
Yerli,2010,Adana,54
Yerli,2010,Adiyaman,11
Yerli,2010,Afyonkarahisar,2
Yerli,2010,Agri,0
Yerli,2010,Aksaray,12
Yerli,2010,Amasya,0
Yerli,2010,Ankara,103
Yerli,2010,Antalya,74
Yerli,2010,Ardahan,7
Yerli,2010,Artvin,0
Yerli,2010,Aydin,25
Yerli,2010,Balikesir,0
Yerli,2010,Bartin,2
Yerli,2010,Batman,6
Yerli,2010,Bayburt,0
Yerli,2010,Bilecik,0
Yerli,2010,Bingol,11
Yerli,2010,Bitlis,11
Yerli,2010,Bolu,13
Yerli,2010,Burdur,0
Yerli,2010,Bursa,65
Yerli,2010,Canakkale,0
Yerli,2010,Cankiri,0
Yerli,2010,Corum,11
Yerli,2010,Denizli,17
